rawVesNames,mappedVesNames
ELANDRA BAY - 2ND,ELANDRA BAY
ELISA AQUILA,ELISA AQUILA
ELLEN ESSBERGER,ELLEN ESSBERGER
EMEK-S,EMEK S
EMIN REIS,EMIN REIS
EMIRALP,EMIRALP
EMPEOROR PAMPERO,EMPEROR PAMPERO
EPHIPHANIA,EPIPHANIA
EPIC BEATA,EPIC BEATA
EPIC BELL,EPIC BELL
EPIC BREEZE,EPIC BREEZE
EPIC MANHATTAN,EPIC MANHATTAN
EPIC SALINA,EPIC SALINA
EPIC SHIKOKU,EPIC SHIKOKU
EPIC ST CROIX,EPIC ST CROIX
EPIC SUSUI,EPIC SUSUI
ESLBORG,ELSBORG
ESTEEM BRILLANCE,ESTEEM BRILLIANCE
ETC NEFETARI,ETC NEFERTARI
EVA DP,DH FEALTY
EVGENTA I,EVGENIA I
EVIAPETROL V,EVIAPETROL V
FAZHA 1,M.V FAZAH 1
FEDEERAL IBUKI,FEDERAL IBUKI
FEDERAL SEVEN,FEDERAL SEVERN
FEYHA,FEYHA N
FLAG FILA,FLAG FILIA
FLAGSHIP VIOLET - 2ND,FLAGSHIP VIOLET
FLORENCE-B,FLORENCE B
FM PROSPERITY,FM PROSPERITY
FMPC C ORIENT,FPMC C ORIENT
FOLTUNE SWAN,FORTUNE SWAN
FORBIN,FORBIN
FOS ATHENES,FOS ATHENS
FPMC MELODY,FPMC C MELODY
FRANCESCO CARRADO,FRANCESCO CORRADO
FREE DAULPHINE,FRI DOLPHIN
FRIENDLY ISLAND,FRIENDLY ISLANDS
FRONT CASADE,FRONT CASCADE
FRONT DUCK,FRONT DUKE
FRONTBALDER,FRONT BALDER
FT PORTORIA,FT PORTORIA
FT QUATRO,FT QUARTO
GALE,GALE
GARAND ACE1,GRAND ACE1
GAS DYNAMIC,GAZ DYNAMIC
GAS SHURIKEN,GAS SHURIKEN
GASCHEM RHONE,GASCHEM RHONE
GASCHEM SHINANO,GASCHEM SHINANO
GASCHEM WESER,GASCHEM WESER
GASLONG GLASGOW,GASLOG GLASGOW
GAZ DYNAMIC,GAZ DYNAMIC
GAZ INTERCEPTOR,GAZ INTERCEPTOR
GCL LEADER Aft Rn,GCL LEADER
GEBURY NICHOLAS A,RIDGEBURY NICHOLAS A
GENCO NORMADY,GENCO NORMANDY
GERES I,CERES I
GIORGIOS B,GIORGOS B
GLANT FLAIR,GANT FLAIR
GLOBAL LIKE,GLOBAL LAKE
GLORIUS HIBISCUS,GLORIOUS HIBISCUS
GNG CONCORD I,GNG CONCORD 1
GOLDEN CLINT,GOLDEN GLINT
governor parkhutdinov,GOVERNOR FARKHUTDINO
GRADMA LILA,GRANDMA LILA
GRAN CONCORD,GRAND CONCORD
GRAND ACE 06,GRAND ACE6
GREEK KMAX 6,GREEN K MAX 6
GREEN AURU,GREEN AURA
HAFNIA AUSTRALIA - 1ST,HAFNIA AUSTRALIA
HAFNIA AUSTRALIA - 2ND,HAFNIA AUSTRALIA
HAPAN,HAPON
HAPPY FALCON,HAPPY FALCON
HARI ARADHANA,M.T HARI ARADHANA
HASSI MESSAOUD,HASSI MESSAOUD 2
HELAN M,HELEN M
HELLAS MARIANA,HELLAS MARIANNA
HENDRIKA MARGARETTA,HENDRIKA MARGARETHA
HITRA,HITRA
HOGEH OSLO,HOEGH OSLO
HOJI,HOJO
HOUSTON VOYAGER,HOUSTON VOYAGER ST
HOUSTON VOYAGER - 1ST,HOUSTON VOYAGER ST
HOUSTON VOYAGER - 2ND,HOUSTON VOYAGER - 2ND
HSL HANA,HSL ANNA
IBEERIAN SEA,IBERIAN SEA
IBERIAN,IBERIAN SEA
IEVOLI GOLD,IEVOLI GOLD
IEVOLI SHINE,IEVOLI SHINE
IJSEL CONFIDENCE,IJSSEL CONFIDENCE
INDIAN VISION,INDIA VISION
INEBOLU,INEBOLU
INTERLINK AFINITY,INTERLINK AFFINITY
IRON DUKE,MV IRON DUKE
ISKEDERUN M,ISKENDERUN M
IVER ACCORD,IVER ACCORD
IVER ACTION,IVER ACTION
IVER BALANCE,IVER BALANCE
IVER BEAUTY,IVER BEAUTY
IVER BEST,IVER BEST
IVER BITUMEN,IVER BITUMEN
IVYAN,IVYAN
JADE BLOSSON,JADE BLOSSOM
JANINE K,JANINE K
JANNES,JANNES
JENNIFER ÿ,JENNIFER III
JHASMIN JOY,JASMIN JOY
JHON PAUL K,JOHN PAUL K
JIU HUA SHAN,JIU HUA SAN
JS ALULAR,JS JAGUAR
JS CHUKAR,JS CHUKAR
JS LEKVAR,JS LEKVAR
KAKAZIMAH III,KAZIMAH III
Kangna,M V KANGNA
KARL-JAKOB K,KARL JAKOB K
KASAN,KAZAN
KASPSALI,KASPSALI
KAZMAH III,KAZIMAH III
KB-4,M.T. K.B.4
KEOJE KOHDELIA,KEOJE CORDELIA
KEONSUL NO.3,KEUN SUL
KETTY C,KITTY C
KIRKBY,KIRKBY
KMARINE RESOURCE,KMARIN RESOURCE
KOCIEWE,KOCIEWIE
Komal,M.V.KOMAL
KOYOT,COYOTE
KRASNODAR - 2ND,KRASNODAR
KRASNODAR - 3RD,KRASNODAR
KRISTEN OLDENDORFF,KIRSTEN OLDENDORFF
KULKAK ARROW,KULJAK ARROW
LA DIGUE,NORD GAINER
LA PATERNAIS,LA PARTENAIS
LADY BEGUN,LADY BEGUM
LANBRIDGE HORIZON,LANDBRIDGE HORIZON
LANDBRDGE FORTUNE,LANDBRIDGE FORTUNE
LANDBRIDGE WISODM,LANDBRIDGE WISDOM
LAS SAUTERNAIS,LA SAUTERNAIS
LAVENTINE SEA,LEVANTINE SEA
LAWHAH - 1ST,LAWHAH
LAWHAH - 2ND,LAWHAH
LEGEND PRISTIGE,LEGEND PRESTIGE
LESSON SWAN,LESSOW SWAN
LIESEL ESSBERGER,LIESEL ESSBERGER
LIESSEL ESSBERGER,LIESEL ESSBERGER
LILA SHANGAI,LILA SHANGHAI
LILLO SWAN,LILLO SWAN
LINDA KOSAN,LINDA KOSAN
LINDANZER,LINDANGER
LNG/C MARAN GAS EFESSOS,MARAN GAS EFESSOS
LNG/C Solaris,SOLARIS
LPG. C/ CAPTAIN NICHOLAS,CAPTAIN NICHOLAS ML
LPG. C/ HELLAS HERCULES,HELLAS HERCULES
LPG. C/ LILAC PROMENADE,LILAC PROMENADE
LPG.C/ ALMORONA,ALMARONA
LPG.C/ BW PINE,BW PINE
LPG.C/ CHAPPARAL,CHAPARRAL
LPG.C/ GAS AL NEGEH,GAS AL NEGEH
LPG.C/ GAS BERYL,GAS BERYL
LPG.C/ JAG VIRAAT,JAG VIRAAT
LPG.C/ SURYA VEERYA,SURYA VEERYA
LPG/C ALMARONA,ALMARONA
LPG/C BW BOSS,GODAVARI GAS
LPG/C BW TRADER,BW TRADER
LPG/C Future Energy,FUTURE ENERGY
LPG/C Gas Young,GAS YOUNG
LPG/C IRIS GLORY,IRIS GLORY
LPG/C KODAIJISAN,KODAIJISAN
LPG/C NANDA DEVI,NANDA DEVI
LPG/C SUNNY BRIGHT,SUNNY BRIGHT
LPG/C. BW BIRCH,BW BIRCH
LPG/C. GAS UMM AL ROWAISAT,GAS UMM AL ROWAISAT
LUCA IEVOLI,LUCA IEVOLI
LUNA ROSSA,LUNA ROSSA
m.v PANCARAN GLORY,PANCARAN GLORY
MAGIC WIND,MAGIC WAND
MAGNOILIA EXPRESS,MAGNOLIA EXPRESS
MAHARAH - 1ST,MAHARAH
MAHARAH - 2ND,MAHARAH
MAINE EIHME,MAINE EHIME
MAINGAS,MAINGAS
Majestic Marina,MAJESTIC MARINA
MANISA CAMILA,MANISA CAMILLA
MARAN GAS KALYMNOS,MARAN GAS KALYMNOS
MARAN HORMONE,MARAN HORMONE
MARAN LIBERA,MARAN LIBRA
